Date,Open,High,Low,Close,Volume From,Volume To
04-07-2018,138,146.11,136.61,138.92,2627.12,373134.88
05-07-2018,138.92,141.17,133.68,138.59,3144.18,431924.12
06-07-2018,138.59,138.9,130.18,133.54,1691.11,226789.01
07-07-2018,133.54,134.96,129.7,134.65,1043.19,137849.7
08-07-2018,134.65,139,133.36,137.18,2976.01,409466.68
09-07-2018,137.18,141.03,134.51,135.58,3395.27,473163.91
10-07-2018,135.58,136.79,120.33,120.33,3342.65,420672.67
11-07-2018,120.33,129.98,120.33,124.39,2008.59,251764.81
12-07-2018,124.39,125.79,116.95,120.77,2834.84,340644.79
13-07-2018,120.77,124.92,118.73,122.06,1899.94,232755.07
14-07-2018,122.06,124,120.31,122.49,561.03,68374.01
15-07-2018,122.49,126.5,120.69,123.89,1374.15,170998.72
16-07-2018,123.89,135.46,122.47,135.16,2578.12,332428.83
17-07-2018,135.16,148.35,134.44,143.23,8546.14,1196462.64
18-07-2018,143.23,149.53,137.88,139.55,1878.41,270323.77
19-07-2018,139.55,143.66,137.88,139.74,658.19,92232.7
20-07-2018,139.74,140.14,128.48,130.29,5189.63,696571.95
21-07-2018,130.29,132.82,127,132.38,518.36,67337.93
22-07-2018,132.38,133.5,128,128.03,1205.3,157604.85
23-07-2018,128.03,142.39,127.97,133.97,2972.66,404547.69
24-07-2018,133.97,148.57,132.95,147.75,3651.45,513922.05
25-07-2018,147.75,149.27,138.3,143.26,3101.38,440738.19
26-07-2018,143.26,145.12,135.76,136,1747.41,246504.66
27-07-2018,136,142.84,135,141.55,839.23,115170.33
28-07-2018,141.55,141.97,138.08,139.82,1516.59,211224.08
29-07-2018,139.82,141.35,135,135,519.17,70990.24
30-07-2018,135,136.4,128.81,132.01,1439.37,190171.43
31-07-2018,132.01,134.49,121.25,121.73,1598.26,198417
01-08-2018,121.73,130.1,119.19,128.57,1722.4,212399.74
02-08-2018,128.57,130.29,120.39,121.8,738.79,93395.88
03-08-2018,121.8,122.63,115,120.54,2616.29,308422.02
04-08-2018,120.54,121.26,113.49,114.16,2479.18,286303.97
05-08-2018,114.16,117.99,111.5,117,1167.47,133551.24
06-08-2018,117,119.84,112.3,114.11,723.29,83197.84
07-08-2018,114.11,118.3,107.12,107.3,3930.48,438061.05
08-08-2018,107.3,108.36,92.85,94.48,5790.84,576847.8
09-08-2018,94.48,102.5,94.48,99.81,1068.22,105861.08
10-08-2018,99.81,100.78,90.08,90.69,1366.09,131412.04
11-08-2018,90.69,92.43,88.41,90.08,859.24,77195.06
12-08-2018,90.08,90.08,90.08,90.08,0,0
13-08-2018,92.5,97.16,87.37,88.12,1554.03,144205.49
14-08-2018,88.12,88.12,76,83.93,9156.71,735300.68
